	loc_name	address	num_review	latitude	longitude
0	을왕리해수욕장	인천광역시 중구 을왕로13번길 15	455237	37.4450739	126.372986
1	장경리해수욕장	인천광역시 옹진군 영흥면 영흥로757번길 6	42274	37.2726225	126.4499759
2	하나개해수욕장	인천광역시 중구 무의동 산189번지	69251	37.3851838	126.4186286
3	왕산해수욕장	인천광역시 중구 을왕동	92943	37.4516407	126.3829845
4	수기해변	인천광역시 옹진군 북도면 시도로86번길 291-48	34234	37.544194	126.4318163
5	영흥도 십리포해변	인천광역시 옹진군 영흥면 영흥북로 420-26	60905	37.2807995	126.4828107
6	대저생태공원	부산광역시 강서구 공항로 1246	8536	35.1803304	128.9672344
7	안데르센 동화마을	부산광역시 기장군 장안읍 장안로 211	0	35.3584529	129.2455484
8	낙강물길공원	경상북도 안동시 상아동	0	36.5782802	128.7509122
9	승봉도 이일레 해변	인천광역시 옹진군 자월면 승봉로116번길	89922	37.1656565	126.3020506
10	자월도 장골해변	인천광역시 옹진군 자월면 자월서로	57925	37.257687	126.2991815
11	서포리해변	인천광역시 옹진군 덕적면 덕적남로587번길 15	30338	37.222418	126.1141303
12	경주세계문화엑스포공원	경상북도 경주시 경감로 614	57375	35.8319963	129.2895981
13	통영 욕지섬 모노레일	경상남도 통영시 욕지면 욕지일주로 1467	0	34.6349078	128.2668987
14	선유도공원	서울특별시 영등포구 선유로 343	0	37.543569	126.8997156
15	인천내동성공회성당	인천광역시 중구 개항로45번길 21-32	25214	37.473894	126.6274299
16	전촌솔밭해변	경상북도 경주시 감포읍 동해안로 2006-2	32866	35.7863155	129.4908554
17	다대포해수욕장	부산광역시 사하구 몰운대1길 14	64700	35.0457857	128.968704
18	해운대해수욕장	부산광역시 해운대구 해운대해변로 264	138405	35.15911670000001	129.1603013
19	일광해수욕장	부산광역시 기장군 일광면 삼성리	57397	35.2621774	129.2241075
20	부산 송도해수욕장	부산광역시 서구 송도해변로 50	46293	35.0752364	129.0183852
21	보령 학성리 공룡발자국화석	충청남도 보령시 천북면 학성리 산45	0	36.4528381	126.4844926
22	합천 영상테마파크	경상남도 합천군 합천읍 동서로 119	6000	35.5670285	128.1658076
23	이태원 관광특구	서울특별시 용산구 이태원로 196	61690	37.5343325	126.9957857
24	몰운대 (부산 국가지질공원)	부산광역시 사하구 다대동	0	35.0556365	128.9674986
25	부산 송도해상케이블카	부산광역시 서구 송도해변로 171	6337	35.0752364	129.0183852
26	송도반도 (부산 국가지질공원)	부산광역시 서구 암남동	0	35.0799261	129.0212884
27	파주 임진각(평화누리공원)	경기도 파주시 문산읍 임진각로 177	162554	37.8893177	126.7400657
28	잣향기푸른숲	경기도 가평군 상면 축령로 289-146	5947	37.7721391	127.3391224
29	월포해수욕장	경상북도 포항시 북구 청하면 해안로2308번길	56064	36.202726	129.3711128
30	성주 경산리 성밖숲	경상북도 성주군 성주읍 경산리	23877	35.9172647	128.2836173
31	경인 아라뱃길	인천광역시 서구 정서진1로 41	13405	37.5569312	126.604845
32	칠포해수욕장	경상북도 포항시 북구 흥해읍 해안로	58652	36.126307	129.4050794
33	고복자연공원	세종특별자치시 연서면 고복리	46758	0	0
34	임랑해수욕장	부산광역시 기장군 장안읍 임랑리	5828	35.3199181	129.2557805
35	송도해변(포항)	경상북도 포항시 남구 운하로251번길 34-1	55412	36.0471353	129.3745255
36	화진해수욕장	경상북도 포항시 북구 송라면 동해대로3218번길	47398	36.2512392	129.3720075
37	봉길대왕암해변	경상북도 경주시 양북면 봉길해안길	39703	35.739209	129.4836792
38	장사해수욕장	경상북도 영덕군 남정면 동해대로 3592	52221	36.2841848	129.3748875
39	봉평해수욕장	경상북도 울진군 죽변면 울진북로 1166	41024	37.0428636	129.4129589
40	망양정해수욕장	경상북도 울진군 근남면 망양정로 1016	74253	36.9671324	129.4124996
41	구산해수욕장	경상북도 울진군 기성면 기성로 108	44604	36.7515686	129.4674905
42	대진해수욕장	경상북도 영덕군 영해면 영덕대게로 2840	54277	36.564414	129.4267036
43	후정해수욕장	경상북도 울진군 죽변면 후정2길 67	38071	37.0694053	129.4158632
44	남호해수욕장	경상북도 영덕군 남정면 동해대로 4142	29354	36.3288889	129.3794444
45	하저해수욕장	경상북도 영덕군 강구면 하저리	28829	36.3963032	129.40077
46	오보 해수욕장	경상북도 영덕군 영덕읍 영덕대게로 1213	31770	36.4416067	129.4326384
47	의항해수욕장	충청남도 태안군 소원면 의항리	46220	36.7979007	126.1519171
48	구룡포해수욕장	경상북도 포항시 남구 구룡포읍 호미로426번길 6	63642	35.9968308	129.5660314
49	무창포해수욕장	충청남도 보령시 웅천읍 열린바다1길 10	72527	36.2445217	126.5365626
50	통구미몽돌해변	경상북도 울릉군 서면 울릉순환로	26566	37.480499	130.8326912
51	만리포해수욕장	충청남도 태안군 소원면 모항리 일원	68082	36.7685619	126.1412846
52	영일대해수욕장	경상북도 포항시 북구 해안로 95	68009	36.0572839	129.3778296
53	방포해수욕장	충청남도 태안군 안면읍 방포1길 29-1	43810	36.5088225	126.33323
54	나정고운모래해변	경상북도 경주시 감포읍 동해안로 1915	34498	35.77893359999999	129.4927271
55	몽산포해수욕장	충청남도 태안군 남면 신장리	69915	36.69108689999999	126.2956623
56	덕천해수욕장	경상북도 영덕군 병곡면 고래불로	34738	36.5852824	129.4132901
57	삼봉해수욕장	충청남도 태안군 안면읍	38110	36.52047200000001	126.3444969
58	후포해수욕장	경상북도 울진군 후포면 삼율리	45431	36.6882684	129.4292436
59	일산해수욕장(울산)	울산광역시 동구 해수욕장10길 18	53163	35.4948902	129.4302092
60	난지해수욕장	충청남도 당진시 석문면 난지1길 67	84068	37.04771849999999	126.4249173
61	진하해수욕장	울산광역시 울주군 서생면 진하리	74350	35.3712128	129.3458052
62	삼정해수욕장	경상북도 포항시 남구 구룡포읍 일출로62번길	27101	36.001005	129.5692482
63	등기산스카이워크	경상북도 울진군 후포면	0	36.6784446	129.4392632
64	청포대해수욕장	충청남도 태안군 남면 신온리	61158	36.6151262	126.3014989
65	강동몽돌해변	울산광역시 북구 동해안로 1650	36357	35.6316773	129.4405906
66	주전몽돌해변	울산광역시 동구 동해안로 653	31611	35.5647235	129.4556302
67	오류고아라해변	경상북도 경주시 감포읍 동해안로 2674	41220	35.8380604	129.5183511
68	흥환간이해수욕장	경상북도 포항시 남구 동해면 호미로	33237	36.0144678	129.4825809
69	신명·정자해변	울산광역시 북구 동해안로 1801	16756	35.6442138	129.4404645
70	화순 금모래 해변	제주특별자치도 서귀포시 안덕면 화순해안로	40226	33.2435927	126.3346668
71	춘장대해수욕장	충청남도 서천군 서면 춘장대길 20	95640	36.1632311	126.5244154
72	구례포해수욕장	충청남도 태안군 원북면 황촌리	42113	36.8628581	126.2048024
73	신양 섭지코지해변	제주특별자치도 서귀포시 성산읍 섭지코지로 88	45084	33.4354584	126.9225361
74	중문·색달 해변	제주특별자치도 서귀포시 중문관광로72번길	55374	33.2507877	126.4085947
75	나곡해수욕장	경상북도 울진군 북면 나실길 31	29555	37.1270129	129.3706679
76	경정해수욕장	경상북도 영덕군 축산면 영덕대게로 1726	22971	36.4820924	129.4329193
77	협재해변	제주특별자치도 제주시 한림읍 한림로	82178	33.3989324	126.2421759
78	도구해수욕장	경상북도 포항시 남구 동해면 일월로81번길	19469	35.9900473	129.4423456
79	곽지과물해변	제주특별자치도 제주시 애월읍 금성5길	46504	33.44754229999999	126.3016504
80	이호테우해변	제주특별자치도 제주시 도리로	59162	33.5008197	126.4643053
81	함덕 서우봉 해변 (함덕해수욕장)	제주특별자치도 제주시 조천읍 조함해안로	54373	33.5440366	126.6537771
82	갈음이해수욕장	충청남도 태안군 근흥면 갈음이길 38-30	62759	36.6935676	126.1639858
83	표선 해비치 해변	제주특별자치도 서귀포시 표선면 민속해안로	44030	33.3126457	126.8232437
84	관성솔밭해변	경상북도 경주시 양남면 양남로 68-24	21781	35.6615935	129.4522058
85	김녕성세기해변 (김녕해수욕장)	제주특별자치도 제주시 구좌읍 해맞이해안로	35603	33.5291668	126.8538817
