	지점명	아파트명	주소	준공년월	세대
0	스타벅스 국립대구박물관DT점	황금동캐슬골드파크1단지아파트	대구 수성구 청수로 213	2006.07	1059
1	스타벅스 대구영대병원역DT점	봉덕동우인그레이스아파트	대구 남구 중앙대로 114	2016.01	16
2	스타벅스 경주터미널DT점	동부이끌림6차	경북 경주시 금성로247번길 15	2014.06	50
3	스타벅스 대구수성네거리DT점	롬바드아파트	대구 수성구 들안로 325	2011.07	108
4	스타벅스 광주매곡DT점	용봉주공아파트	광주 북구 매곡로 20		
5	스타벅스 목포터미널DT점	목포하당KD빌리앙뜨아파트	전남 목포시 옥암로 174	2007.07	386
6	스타벅스 아산방축DT점	아산반도유보라아파트	충남 아산시 아산로 116-21	2016.03	650
7	스타벅스 울산MBC DT점	번영로효성해링턴플레이스	울산 중구 번영로 435	2015.09	207
8	스타벅스 포항쌍용DT점	상도풀리스아파트	경북 포항시 남구 중흥로114번길 7-5	2014.09	62
9	스타벅스 광주주월DT점	힐스테이트백운아파트	광주 남구 회재로1293번길 7	2016.09	528
10	스타벅스 청주사직DT점	청주사직두산위브더제니스아파트	충북 청주시 서원구 사운로 93	2009.07	576
11	스타벅스 광주지산DT점	광주지산휴먼시아아파트	광주 동구 동명로69번길 20	2010.06	375
12	스타벅스 광주신안DT점	용봉신안고운하이플러스	광주 북구 서암대로 95-29		
13	스타벅스 여수학동DT점	센트럴파크주상복합아파트	전남 여수시 시청동1길 29	2014.03	208
14	스타벅스 대전신탄진DT점	대전풍림금강엑슬루타워아파트	대전 대덕구 대덕대로 1555	2012.01	2312
15	스타벅스 수원권선DT점	오목천서희스타힐스아파트	경기 수원시 권선구 온정로9번길 36 서희스타힐스아파트	2016.12	844
16	스타벅스 대구칠곡대로DT점	강북화성파크드림아파트	대구 북구 칠곡중앙대로 312	2007.12	392
17	스타벅스 고양DT점	푸른마을동익미라벨3단지아파트	경기 고양시 덕양구 푸른마을로 15	2004.06	958
18	스타벅스 대구수성도서관DT점	메트로팔레스3단지아파트	대구 수성구 동원로 110	2003.01	878
19	스타벅스 대구상인DT점	e편한세상월배아파트	대구 달서구 월성로 132	2014.10	932
20	스타벅스 안성석정DT점	한빛마을우남퍼스트빌아파트	경기 안성시 중앙로 274-7	2007.11	486
21	스타벅스 용인상하DT점	참솔마을월드메르디앙아파트	경기 용인시 기흥구 동백죽전대로 281 참솔마을월드메르디앙	2006.02	966
22	스타벅스 대구앞산DT점	동신점보맨션아파트	대구 남구 대명로 177	1979.08	201
23	스타벅스 창원호계DT점	코오롱하늘채1차아파트	경남 창원시 마산회원구 내서읍 호원로 361-3	2001.11	2040
24	스타벅스 대전터미널DT점	효촌마을아파트	대전 동구 계족로368번길 11	2003.04	818
25	스타벅스 광주월산DT점	농성SK뷰센트럴아파트	광주 서구 상무대로1147번길 16 농성 SK VIEW Central	2019.09	842
26	스타벅스 남양산IC DT점	양우내안애6차에코뷰	경남 양산시 동면 금오15길 29	2017.05	581
27	스타벅스 온천장역DT점	래미안장전아파트	부산 금정구 금정로 20	2017.09	1938
28	스타벅스 김포감정DT점	중봉마을신안실크밸리3차아파트	경기 김포시 중봉로 1-1	2012.12	1074
29	스타벅스 울산남구청DT점	울산신정동신정지웰	울산 남구 월평로171번길 26	2018.07	200
30	스타벅스 광주금호DT점	광주상무푸르지오아파트	광주 서구 금호운천길 83	2011.06	470
31	스타벅스 신월IC DT점	신월보람6차아파트	서울 양천구 곰달래로7길 7	2005.10	136
32	스타벅스 대구칠성DT점	칠성동삼성아파트	대구 북구 호암로 40	1995.11	624
33	스타벅스 제주외도DT점	가온체리티	제주 제주시 우정로 37	2005.12	46
34	스타벅스 의정부신곡DT점	풍림한국아파트	경기 의정부시 회룡로 245		
35	스타벅스 경인교대입구역DT점	계산한양아파트	인천 계양구 계양대로120번길 10	1985.10	280
36	스타벅스 의정부녹양DT점	힐스테이트녹양역	경기 의정부시 가금로34번길 23	2018.11	758
37	스타벅스 인천당하DT점	당하풍림아이원3차아파트	인천 서구 원당대로685번길 31	2004.10	579
38	스타벅스 군산나운DT점	나운3차주공아파트	전북 군산시 하나운안1길 40	1983.12	800
39	스타벅스 부천중동DT점	복사골건영아이숲1차아파트	경기 부천시 중동로 166	1992.12	1030
40	스타벅스 대구감삼DT점	대우월드마크웨스트엔드	대구 달서구 와룡로 169	2010.08	994
41	스타벅스 대구성서IC DT점	대우월드마크웨스트엔드	대구 달서구 와룡로 169	2010.08	994
42	스타벅스 청주용암DT점	용암동현대홈타운아파트	충북 청주시 상당구 용암로 23	1995.10	476
43	스타벅스 대구황금DT점	대구수성SK리더스뷰아파트	대구 수성구 동대구로 95	2010.09	788
44	스타벅스 용인김량장DT점	2차양우내안애에듀퍼스트	경기 용인시 처인구 경안천로 196-1 양우내안애에듀퍼스트	2019.03	1098
45	스타벅스 원주반곡DT점	유승한내들아파트	강원 원주시 강변로 119	2003.06	639
46	스타벅스 일산애니골DT점	숲속마을에버나인10단지아파트	경기 고양시 일산동구 숲속마을2로 25		
47	스타벅스 금정남산동DT점	선경1차아파트	부산 금정구 구서중앙로 20	1985.11	616
48	스타벅스 세종다정DT점	새뜸마을14단지더샵힐스테이트아파트	세종 새롬로 56	2017.04	222
49	스타벅스 제천DT점	두진백로1차아파트	충북 제천시 칠성로 19	1995.05	484
50	스타벅스 동해DT점	동해천곡주공2차아파트	강원 동해시 한섬로 87	1984.11	150
51	스타벅스 광주화정DT점	고운하이플러스아파트	광주 서구 화운로99번길 20	2014.04	188
52	스타벅스 기장역DT점	한신그린코아아파트	부산 기장군 기장읍 차성로344번길 13	1995.05	1131
53	스타벅스 해운대달맞이DT점	해운대엘시티더샵	부산 해운대구 달맞이길 30	2019.11	882
54	스타벅스 울산도산사거리DT점	울산센트럴자이아파트	울산 남구 삼산로 231	2015.11	288
55	스타벅스 구미상모DT점	구미상모한신휴플러스아파트	경북 구미시 박정희로 76-1	2015.11	998
56	스타벅스 안성공도DT점	송정그린빌아파트	경기 안성시 공도읍 양기길 46	2001.12	860
57	스타벅스 의정부용현DT점	용현현대1차아파트	경기 의정부시 오목로 36	1992.07	986
58	스타벅스 포항장성DT점	포항장성두산위브더제니스아파트	경북 포항시 북구 새천년대로 1235	2010.12	1713
59	스타벅스 대구공평DT점	동인시티타운아파트	대구 중구 국채보상로131길 55	1997.07	204
60	스타벅스 동대구로DT점	동대구유성푸르나임아파트	대구 동구 동부로22길 48	2014.11	672
