	name	person	like_date
0	경천애인2237	김태헌 (98곳)	2020년 8월 1일
1	경천애인2237	시와빠 (129곳)	2020년 7월 25일
2	경천애인2237	지현 (378곳)	2020년 4월 23일
3	경천애인2237	Seungyoun Cho (99곳)	2019년 10월 25일
4	경천애인2237	Jeff (1662곳)	2019년 9월 12일
5	경천애인2237	고래 (16곳)	2019년 8월 20일
6	경천애인2237	미스터 달타냥 (486곳)	2019년 8월 16일
7	경천애인2237	bb picky (953곳)	2019년 8월 16일
8	경천애인2237	Jjkha (143곳)	2019년 1월 4일
9	에덴식당	일기일회 (4260곳)	2020년 8월 9일
10	에덴식당	바리데기 (176곳)	2020년 7월 27일
11	에덴식당	조윤성 (76곳)	2020년 7월 18일
12	에덴식당	GGY (1315곳)	2020년 6월 22일
13	에덴식당	캠포트리 (1596곳)	2020년 6월 7일
14	에덴식당	Bong Min Ko (110곳)	2020년 5월 29일
15	에덴식당	빌리셔스 (232곳)	2020년 5월 29일
16	에덴식당	김창규 (11곳)	2020년 5월 27일
17	에덴식당	김박사부친 (1090곳)	2020년 5월 23일
18	에덴식당	부지런한달퐁이 (1220곳)	2020년 5월 22일
19	에덴식당	이만희 (349곳)	2020년 5월 22일
20	에덴식당	miwra (2068곳)	2020년 5월 22일
21	에덴식당	한량c씨 (27곳)	2020년 5월 13일
22	에덴식당	Suji Jeon (1곳)	2020년 1월 15일
23	에덴식당	임형철 (87곳)	2019년 11월 27일
24	에덴식당	bongbong (70곳)	2019년 11월 7일
25	에덴식당	맥주사탕 (36곳)	2019년 9월 12일
26	에덴식당	JooJoo (2곳)	2019년 9월 9일
27	에덴식당	이상진 (40곳)	2019년 8월 4일
28	에덴식당	jk (34곳)	2019년 6월 14일
29	에덴식당	우지맛챠 (25곳)	2019년 5월 14일
30	에덴식당	Lim Seungkuk (3곳)	2019년 4월 23일
31	에덴식당	Erik Sim (44곳)	2019년 3월 21일
32	에덴식당	Kim Shik (482곳)	2019년 3월 19일
33	에덴식당	내돈내먹 (70곳)	2019년 1월 23일
34	에덴식당	Min Gu Jeong (13곳)	2019년 1월 13일
35	에덴식당	졍이 (2곳)	2018년 12월 16일
36	에덴식당	SOSOPA (8417곳)	2018년 11월 28일
37	에덴식당	nova11 (266곳)	2018년 11월 11일
38	에덴식당	맛개론 (40곳)	2018년 10월 13일
39	에덴식당	조난강 (176곳)	2018년 8월 25일
40	에덴식당	이동재 (105곳)	2018년 4월 14일
41	에덴식당	모나카 (2곳)	2018년 4월 6일
42	에덴식당	김지은 (1곳)	2017년 12월 1일
43	에덴식당	사곽사곽 (47곳)	2017년 5월 11일
44	에덴식당	Crickson Jeong (4곳)	2017년 4월 7일
45	에덴식당	지도링 (26곳)	2016년 12월 13일
46	에덴식당	Yg Cho (23곳)	2016년 11월 22일
47	에덴식당	김지민 (16곳)	2016년 11월 15일
48	에덴식당	Minjung Lee (19곳)	2016년 11월 9일
49	에덴식당	Taeyong Kim (42곳)	2016년 11월 8일
