rank,name,dates_from_open,price_grade,senti_score,mango_dinning_likes,6M_score,6M_num,tastyscore_d1_p1_r1,tastyscore_d2_p1_r1,tastyscore_d1_p2_r1,tastyscore_d1_p1_r2,tastyscore_d1_p1_r1_scaled,tastyscore_d2_p1_r1_scaled,tastyscore_d1_p2_r1_scaled,tastyscore_d1_p1_r2_scaled,d1_p1_r1_rank,d2_p1_r1_rank,d1_p2_r1_rank,d1_p1_r2_rank,review_score1,review_score2,review_score1_scaled,review_score2_scaled
1,스시아라타,0.0,0.25,0.5595547973159976,0.6396006028636021,0.9050956831330664,0.02918781725888325,0.7833597251428873,0.7833597251428873,1.0333597251428874,1.3167194502857746,0.253233171767201,0.10502814489172649,0.2724042078057307,0.3691248148382996,38,40,40,24,4.775574610170375,4.245207630113261,0.559781264977988,0.49236477602945367
2,오헨,0.061054720293062664,0.5,0.5912237681926586,0.6550489826676714,0.716510903426792,0.015228426395939087,1.0555577404638279,1.1166124607568908,1.5555577404638279,1.5500607606345933,0.4285602499048445,0.24314816029137046,0.4935801113044126,0.49653235691736475,18,23,19,11,4.498651141479707,3.922655799682988,0.5268520116256998,0.4543457032621992
3,하쯔호,0.17026635121727846,0.25,0.5971574075867011,0.31574981160512433,0.9030602895363756,0.0317258883248731,0.882189700480547,1.0524560516978254,1.1321897004805468,1.3441130497438154,0.3168911333726037,0.2165578783214492,0.31426344213205215,0.38408209424343365,30,27,39,21,4.6056776859993,4.040246166737472,0.5395786476763351,0.46820603918343345
4,피그인더가든,0.00770815843699916,0.5,0.4080358106648674,0.4551620195930671,0.4958029252035301,0.27030456852791884,0.915034489434345,0.9227426478713442,1.415034489434345,1.3223608204316908,0.33804698519807413,0.16279682726497594,0.4340617751615299,0.3722050799794139,28,36,28,23,3.8898248182433535,3.7520935761064047,0.45445584982625903,0.43424159292169173
5,정인면옥,0.16438983438907118,0.5,0.4677252445951985,0.5501130369253956,0.6057330788236368,0.3807106598984773,1.1654603394497483,1.3298501738388193,1.6654603394497483,1.6665308445104254,0.4993502648034292,0.33152671826598423,0.5401291327759414,0.5601266132887697,9,13,12,10,4.774612152648896,4.687597567952174,0.559666818168133,0.5445091250965867
6,아트리오,0.08952148362970312,0.75,0.5551514258054904,0.103051996985682,0.2865335598980465,0.10786802030456856,1.10267273437815,1.192194218007853,1.85267273437815,1.365823985126597,0.4589077680883669,0.274473795041828,0.6194225605171266,0.3959365614581011,13,18,9,19,3.220328880917442,2.77304547541652,0.3748454020633118,0.31884153168775753
7,가양칼국수버섯매운탕,1.0,0.5,0.3548848913112901,0.7098718914845517,0.4218866136089097,0.284263959390863,1.9427268389489036,2.9427268389489036,2.4427268389489036,2.3854536778978073,1.0000000000000002,0.9999999999999999,0.8693387721123275,0.9526682982972139,1,1,2,2,3.8259765621201205,3.755355630199693,0.446863588282214,0.43462609011018394
8,진주집,0.2155994810348775,0.5,0.5347149036259666,1.0,0.5418061128207352,0.8248730964467007,1.440948009258228,1.6565474902931054,1.940948009258228,2.166296537481579,0.6767962618049836,0.4669297729372396,0.6568113730084881,0.8330055067076425,6,6,7,3,6.69709112948544,6.987249322306173,0.7882707627598167,0.815568282539593
9,폴앤폴리나,0.2307105243074105,0.5,0.6742947197092493,0.4267143933685004,0.9234728430177443,0.0685279187817259,1.2539629930267155,1.4846735173341261,1.7539629930267155,1.7772154617460205,0.5563562339350638,0.39569484144251776,0.5776142510502538,0.6205619258653055,8,8,11,8,5.176422714586164,4.57065591365864,0.6074465237171682,0.530725252724267
10,바스버거,0.09425322445241548,0.5,0.7587020880603697,0.3562547098718915,0.4796416940460784,0.2690355329949239,1.0601617306957314,1.1544149551481468,1.5601617306957314,1.5260702369390473,0.4315257533607832,0.2588157919399007,0.4955301219696475,0.4834332033527008,17,20,18,13,5.157453049190299,4.6677864941248535,0.605190821371744,0.542174000671983
