rank,name,dates_from_open,price_grade,senti_score,mango_dinning_likes,6M_score,6M_num
1,스시아라타,183,2.0,0.5963883996009827,3443.0,4.543898809523809,33.0
2,오헨,983,3.0,0.605210542678833,3525.0,4.291666666666667,22.0
3,하쯔호,2414,2.0,0.6068634986877441,1724.0,4.541176470588235,35.0
4,피그인더가든,284,3.0,0.5541791915893555,2464.0,3.9964697457930543,223.0
5,정인면옥,2337,3.0,0.5708070993423462,2968.0,4.143501326259947,310.0
6,아트리오,1356,4.0,0.5951617360115051,595.0,3.71657196969697,95.0
7,가양칼국수버섯매운탕,13286,3.0,0.5393727421760559,3816.0,3.8976066790352504,234.0
8,진주집,3008,3.0,0.5894686579704285,5356.0,4.057999009231066,660.0
9,폴앤폴리나,3206,3.0,0.6283519268035889,2313.0,4.568478260869566,64.0
10,바스버거,1418,3.0,0.6518656015396118,1939.0,3.9748540991199626,222.0
11,진가와,825,3.0,0.5053117275238037,1148.0,4.402962962962962,83.0
12,팥이재,1365,3.0,0.5514457821846008,1171.0,3.5989473684210522,61.0
13,갓포아키,978,3.0,0.5019031763076782,290.0,4.283461538461538,46.0
14,브루클린더버거조인트,503,3.0,0.5665544867515564,330.0,4.03921568627451,104.0
15,스시혜정,466,2.0,0.6231606006622314,139.0,4.413636363636363,38.0
16,경천애인,1068,4.0,0.5451279878616333,453.0,4.367043010752688,48.0
17,에덴식당,10316,3.0,0.5439686775207521,637.0,4.3757142857142854,78.0
18,신원,5293,3.0,0.48852959999999995,887.0,3.956410256410256,23.0
19,그레이에스프레소,1535,3.0,0.7190848588943481,597.0,4.6708333333333325,42.0
20,패트릭스와플,1924,3.0,0.5664970874786377,487.0,3.83287037037037,60.0
21,브로드웨이,1400,3.0,0.5836602449417114,48.0,4.527491694352159,384.0
22,야마야,2295,3.0,0.5044619441032411,1969.0,4.033547008547009,103.0
23,테이스팅룸,1014,4.0,0.6469842195510864,440.0,4.400790078089114,357.0
24,배꼽집,1106,4.0,0.49891197681427,476.0,3.8863636363636367,42.0
25,아루히,580,5.0,0.6983872056007385,797.0,4.4259013734540975,798.0
26,아이엠베이글,1470,3.0,0.646022617816925,354.0,4.182885572139304,95.0
27,대오옛집,3575,3.0,0.4405111372470856,409.0,3.3333333333333335,10.0
28,그리너리샐러드,3535,3.0,0.6142529249191284,353.0,4.0,24.0
29,라무진,5083,3.0,0.4778949618339538,170.0,4.444444444444445,38.0
30,카페진정성,1128,3.0,0.5492735505104065,961.0,4.031724581724582,168.0
31,커피기업,1494,3.0,0.7139914035797119,850.0,4.091764705882353,59.0
32,수하동,1352,3.0,0.4812939465045929,351.0,3.402824302134647,40.0
33,더스테이크하우스,1253,3.0,0.5580258369445801,199.0,4.150649350649351,109.0
34,그리츠,552,3.0,0.6035246849060059,288.0,4.1425474254742545,456.0
35,창고43,5311,1.0,0.5322310328483582,1751.0,4.04260752446799,94.0
36,서궁,5226,3.0,0.4778266549110413,1068.0,3.700974025974026,112.0
37,쿠치나후,2014,1.0,0.5661914348602295,352.0,3.898286413708691,66.0
38,뉴오리진,875,3.0,0.6230599284172058,368.0,4.283466967814794,108.0
39,구이구이,12003,3.0,0.5086368918418884,232.0,3.866666666666667,72.0
40,나폴레옹,11316,3.0,0.6382535696029663,89.0,3.5916346153846157,220.0
41,영원식당,3981,3.0,0.493278443813324,1226.0,3.5700795755968167,92.0
42,카레오,1716,3.0,0.5268840193748474,546.0,3.998411910669975,64.0
43,파낙스,4250,3.0,0.5298250913619995,1566.0,3.7310897435897434,56.0
44,슈치쿠,475,2.0,0.6915880441665649,220.0,4.059093982420554,163.0
