rank,name,address
1,스시아라타,서울특별시 영등포구 국제금융로8길 16
2,오헨,서울특별시 영등포구 의사당대로 127 롯데캐슬엠파이어 1F
3,하쯔호,서울특별시 영등포구 여의동로 213 금호리첸시아 B1
4,피그인더가든,서울특별시 영등포구 여의대로 56 한화손해보험빌딩 1F
5,정인면옥,서울특별시 영등포구 국회대로76길 10
6,아트리오,서울특별시 영등포구 국제금융로 10 콘래드호텔 서울점 2F
7,가양칼국수버섯매운탕,서울특별시 영등포구 국제금융로 78
8,진주집,서울특별시 영등포구 국제금융로6길 33
9,폴앤폴리나,서울특별시 영등포구 의사당대로 108 아일렉스상가 1F
10,바스버거,서울특별시 영등포구 국제금융로 20 율촌빌딩 B1
11,진가와,서울특별시 영등포구 국제금융로2길 17
12,팥이재,서울특별시 영등포구 여의대방로65길 17
13,갓포아키,서울특별시 영등포구 의사당대로 16
14,브루클린더버거조인트,서울특별시 영등포구 국제금융로2길 24
15,스시혜정,서울특별시 영등포구 여의대방로 376
16,경천애인2237,서울특별시 영등포구 국제금융로8길 31
17,에덴식당,서울특별시 영등포구 의사당대로 127
18,신원,서울특별시 영등포구 여의대로 56
19,그레이에스프레소,서울특별시 영등포구 여의대방로 379
20,패트릭스와플,서울특별시 영등포구 국제금융로 112
21,브로드웨이,서울특별시 영등포구 국회대로76길 16
22,야마야,서울특별시 영등포구 여의대로 66
23,테이스팅룸,서울특별시 영등포구 국제금융로 10
24,배꼽집,서울특별시 영등포구 국제금융로2길 32
25,아루히,서울특별시 영등포구 여의나루로 42
26,아이엠베이글,서울특별시 영등포구 국제금융로 86
27,대오옛집,서울특별시 영등포구 여의나루로 53-1
28,그리너리샐러드,서울특별시 영등포구 은행로 29
29,라무진,서울특별시 영등포구 여의대방로65길 17
30,카페진정성,서울특별시 영등포구 국제금융로8길 31
31,커피기업,서울특별시 영등포구 은행로 29
32,수하동,서울특별시 영등포구 국제금융로2길 17
33,더스테이크하우스,서울특별시 영등포구 국제금융로 10
34,그리츠,서울특별시 영등포구 의사당대로 16
35,창고43,서울특별시 영등포구 국제금융로6길 33
36,서궁,서울특별시 영등포구 국제금융로 78
37,쿠치나후,서울특별시 영등포구 의사당대로 1
38,뉴오리진,서울특별시 영등포구 국제금융로 10
39,구이구이,서울특별시 영등포구 의사당대로 38
40,나폴레옹 IFC,서울특별시 영등포구 국제금융로 10
41,영원식당,서울특별시 영등포구 여의나루로 117
42,카레오,서울특별시 영등포구 여의동로3길 10
43,파낙스,서울특별시 영등포구 여의대방로65길 17
44,슈치쿠,서울특별시 영등포구 63로 50
