rank,name,address,open_date,start_date,dates
1,스시아라타,서울특별시 영등포구 국제금융로8길 16,2020-03-02,2020-09-01,183
2,오헨,서울특별시 영등포구 의사당대로 127 롯데캐슬엠파이어 1F,#N/A,2020-09-01,#N/A
3,하쯔호,서울특별시 영등포구 여의동로 213 금호리첸시아 B1,2014-01-22,2020-09-01,2414
4,피그인더가든,서울특별시 영등포구 여의대로 56 한화손해보험빌딩 1F,2019-11-22,2020-09-01,284
5,정인면옥,서울특별시 영등포구 국회대로76길 10,2014-04-09,2020-09-01,2337
6,아트리오,서울특별시 영등포구 국제금융로 10 콘래드호텔 서울점 2F,2016-12-15,2020-09-01,1356
7,가양칼국수버섯매운탕,서울특별시 영등포구 국제금융로 78,1984-04-17,2020-09-01,13286
8,진주집,서울특별시 영등포구 국제금융로6길 33,2012-06-07,2020-09-01,3008
9,폴앤폴리나,서울특별시 영등포구 의사당대로 108 아일렉스상가 1F,2011-11-22,2020-09-01,3206
10,바스버거,서울특별시 영등포구 국제금융로 20 율촌빌딩 B1,2016-10-14,2020-09-01,1418
11,진가와,서울특별시 영등포구 국제금융로2길 17,2018-05-30,2020-09-01,825
12,팥이재,서울특별시 영등포구 여의대방로65길 17,2016-12-06,2020-09-01,1365
13,갓포아키,서울특별시 영등포구 의사당대로 16,2017-12-28,2020-09-01,978
14,브루클린더버거조인트,서울특별시 영등포구 국제금융로2길 24,2019-04-17,2020-09-01,503
15,스시혜정,서울특별시 영등포구 여의대방로 376,2019-05-24,2020-09-01,466
16,경천애인,서울특별시 영등포구 국제금융로8길 31,2017-09-29,2020-09-01,1068
17,에덴식당,서울특별시 영등포구 의사당대로 127,1992-06-04,2020-09-01,10316
18,신원,서울특별시 영등포구 여의대로 56,2006-03-06,2020-09-01,5293
19,그레이에스프레소,서울특별시 영등포구 여의대방로 379,#N/A,2020-09-01,#N/A
20,패트릭스와플,서울특별시 영등포구 국제금융로 112,2015-05-27,2020-09-01,1924
21,브로드웨이,서울특별시 영등포구 국회대로76길 16,2016-11-01,2020-09-01,1400
22,야마야,서울특별시 영등포구 여의대로 66,2014-05-21,2020-09-01,2295
23,테이스팅룸,서울특별시 영등포구 국제금융로 10,2017-11-22,2020-09-01,1014
24,배꼽집,서울특별시 영등포구 국제금융로2길 32,2017-08-22,2020-09-01,1106
25,아루히,서울특별시 영등포구 여의나루로 42,2019-01-30,2020-09-01,580
26,아이엠베이글,서울특별시 영등포구 국제금융로 86,2016-08-23,2020-09-01,1470
27,대오옛집,서울특별시 영등포구 여의나루로 53-1,2010-11-18,2020-09-01,3575
28,그리너리샐러드,서울특별시 영등포구 은행로 29,2010-12-28,2020-09-01,3535
29,라무진,서울특별시 영등포구 여의대방로65길 17,2006-10-02,2020-09-01,5083
30,카페진정성,서울특별시 영등포구 국제금융로8길 31,#N/A,2020-09-01,#N/A
31,커피기업,서울특별시 영등포구 은행로 29,#N/A,2020-09-01,#N/A
32,수하동,서울특별시 영등포구 국제금융로2길 17,2016-12-19,2020-09-01,1352
33,더스테이크하우스,서울특별시 영등포구 국제금융로 10,2017-03-28,2020-09-01,1253
34,그리츠,서울특별시 영등포구 의사당대로 16,2019-02-27,2020-09-01,552
35,창고43,서울특별시 영등포구 국제금융로6길 33,2006-02-16,2020-09-01,5311
36,서궁,서울특별시 영등포구 국제금융로 78,2006-05-12,2020-09-01,5226
37,쿠치나후,서울특별시 영등포구 의사당대로 1,2015-02-26,2020-09-01,2014
38,뉴오리진,서울특별시 영등포구 국제금융로 10,2018-04-10,2020-09-01,875
39,구이구이,서울특별시 영등포구 의사당대로 38,1987-10-22,2020-09-01,12003
40,나폴레옹,서울특별시 영등포구 국제금융로 10,1989-09-08,2020-09-01,11316
41,영원식당,서울특별시 영등포구 여의나루로 117,2009-10-08,2020-09-01,3981
42,카레오,서울특별시 영등포구 여의동로3길 10,2015-12-21,2020-09-01,1716
43,파낙스,서울특별시 영등포구 여의대방로65길 17,2009-01-12,2020-09-01,4250
44,슈치쿠,서울특별시 영등포구 63로 50,2019-05-15,2020-09-01,475
